Username,Time,Content,Reply Count,Retweet Count,Like Count
2xnmore,2023-05-30T18:13:57.000Z,"‣ Research

If you do a lot of research to make informed decisions or to get a better understanding of a particular topic, you can shortcut research work with ChatGPT.

 Ask the AI directly for literature, blog posts, or other sources that detail the topic you’re researching.",1,0,1
Label Your Y Axis!,2023-05-30T17:49:52.000Z,"I'm sorry if it's too much work for a teacher to say, ""stop doing that"" or to even let a SA victim defend herself without being threatened with disciplinary action. Let's just have ChatGPT teach - it will do a far better job than most teachers.",1,0,0
Best Ai Tools,2023-05-30T16:16:17.000Z,"ChatGPT has disappeared.

Google Chrome AI extensions are now better than ChatGPT.

Here are 5 Chrome extensions that will save you hundreds of hours of work:",3,0,1
Jaylene Patterson,2023-05-30T15:44:10.000Z,Great ideas Elise! I have a few meetings scheduled this week to work on different projects and got a submission in this morning so I’m feeling a little better about the amount of things. I’m also considering using chatGPT to create the list for me ,1,0,1
Marcel Klief,2023-05-30T13:03:48.000Z,"Yesss! These kind of prompts work waaay better. So funny when people get disappointed by ChatGPT, when they think a very basic prompt will cut it",0,0,0
Taysky,2023-05-30T04:42:53.000Z,"I’m a software developer and ChatGPT helped me get work done faster, with less mental effort.  Prob 10-15% improvement so far based off work down in a 2 week sprint. Hoping to get better at using it. Search time for many things is significantly reduced.",0,0,1
eLearning Industry,2023-05-29T20:01:30.000Z,"While AI tools like #ChatGPT, Bard and others haven’t started running the show–at least not yet–they can help us automate many tedious tasks and speed up our work. Find out how #AI can help people do bigger & better things in this eBook by 
@360Learning
.",1,3,6
Dr. Marcell Vollmer #StaySafe #VivaTech,2023-05-29T18:06:20.000Z,"How to Use ChatGPT to Work Better, Earn More Money  

#ChatGPT #chatbots #chatgpt4 #chatgpt3 #GenerativeAI #AI #ML #innovation #tech #FutureofWork #Leadership",0,1,3
Kimberly Forsythe,2023-05-29T17:53:44.000Z,"Thank you for saying I write like ChatGPT. It often writes a lot better than I do. Universal Basic Income will not work as the monetary system and economy are collapsing. 

We have about 10 years before our debt becomes $50T. That's nearly double what it is today and look at how… Show more",1,0,0
T. Carman,2023-05-29T14:31:57.000Z,"“Actually, ChatGPT is going to mean less homework in general, which is going to force teachers to use their class time better. It’s going to mean more oral examinations, more memorization projects—it’s going to mean less work which involves laptops.”",0,1,4
HumanistMedievalist,2023-05-29T14:01:25.000Z,"The lawyer’s lack of critical thinking is remarkable. He didn’t realize that ChatGPT might provide inaccurate information? He sounds like a freshman in one of my world history courses. I can work with students who learn from their mistakes, but this guy should have known better.",0,0,0
Myke Mnemonic,2023-05-29T13:09:07.000Z,Awesome work. Curious: is there a metric that serves as a proxy for how good an LLM can be? Like is ChatGPT better because it has more _________ than other LLMs?,0,0,0
Ngayu Thairu,2023-05-29T11:08:50.000Z,"1. Hey ChatGPT, do my mundane, daily work tasks in a fraction of the time, and better.",2,0,0
MAN LIKE OSI,2023-05-29T10:41:12.000Z,"Exactly, ChatGPT creates logical and well thought out scenarios with rich context. Bard on the other hand is just a great research resource because of its direct plugin with the search engine. I’ll be trying Bing Chat to see if GPT-3’s models work better",2,0,1
Abdul salam Abdussamed,2023-05-29T09:56:49.000Z,"From automating tedious tasks to revolutionizing the way we learn, work, and communicate, the impact of AI cannot be underestimated. Let us embrace this technological revolution and use its power to create a better future for all."" #AIRevolution #Innovation #FutureTech #ChatGPT",0,0,0
doc,2023-05-29T09:10:02.000Z,"""chatgpt, find me a case that...""

chatgpt: *generates random text that sounds plausible to an idiot lawyer*

there is no ""ai"" that checks to see if chatgpt generated fake cases. AI doesn't even work that way.

you could do ALL this faster and BETTER with non-AI software.",2,3,59
Minh-Phuc Tran,2023-05-29T08:14:27.000Z,"My use case is more of a standalone service than a ChatGPT plugin. The service needs to understand components of user's website, was thinking if capturing screen then sending as part of a prompt will work better.",1,0,1
Bryan (Content & AI Marketer),2023-05-29T03:58:41.000Z,"Clickbaity hooks work.

The more controversial and bold your first tweet is, the better your threads perform. 

Hooks like these do very well:

“ChatGPT sucks”
“SEO is dead”
“Bard is better than ChatGPT”
“Pineapples belong on pizza”",8,1,21
Ben Whitman,2023-05-29T01:11:23.000Z,This is clearly a bad use of base ChatGPT but I wonder if it's any better with the web search function turned on and specific instructions to research this or that law topic. This is a use case people are salivating over and it could be as simple as getting it to check its work.,0,0,0
Reuven M. Lerner,2023-05-28T14:37:39.000Z,"Buckle up for a 35-minute exploration of ChatGPT, Noteable, Python, Pandas, and Seaborn — and a better understanding of how these tools work (and where they don't).

Take a look here:",0,0,6
Kevin McElroy,2023-05-28T14:37:29.000Z,"ChatGPT is not your friend. AI is not a replacement for the brilliance, power, imagination and potential of the human mind. We can, and always will do better.  Do your own work, pay the creators, be efficient and not lazy. Further deponent sayeth not.",0,0,0
William Garfinkel,2023-05-28T13:28:49.000Z,I have found that Chat GPT explains things very clearly  - better than most people  could do in much more time. How to and why did questions seem to work well. Did slightly botch why Yankees lost 1960 WS.,1,0,0
Marc van der Chijs,2023-05-28T09:37:49.000Z,"If my personal use is any indication, ChatGPT and other LLMs is where we’ll soon spend most of our time. Not just for work, but also for entertainment. I hardly use Google anymore, ChatGPT gives faster and (mostly) better answers. I’d pay $10,000 a month to use it if I had to.",1,0,2
J v W,2023-05-28T08:25:42.000Z,"This story is both hilarious and mortifying. But you'd better believe the big firms have been, for a while now, instructing their lawyers to use ChatGPT and other AI programs. To save money and work. 

Associates are training their robot replacements",0,0,1
Mozart,2023-05-28T07:06:18.000Z,"AI is another popular fancy words now. ChatGPT & auto driving will NOT work in 20 yrs, so it is a better bet to bet it crash say when its PE is over 1000 and wait 15 months. Thats what my model tells me.",0,0,0
SutopiaX,2023-05-28T04:22:54.000Z,"According to Tony Robbins, the quality of your life is a direct outcome of the quality of the questions you ask. ChatGPT prompts work in the same way — the better the questions you ask, the better your outcome.

And for now, your human genius and experience still pays! 
#ChatGPT",0,0,0
Marketing Hertz,2023-05-28T01:57:26.000Z,"Are you asking ChatGPT to complete a complex task?

Add, ""Let's work this out in a step by step way."" to the beginning of your prompt.

This will get you much better results.",0,0,0
James Parrott,2023-05-28T01:01:12.000Z,"ChatGPT is better at giving feedback on awful things that happen, like after a bad job interview or work meeting. It says nice things that are smart, but aren't really actionable, but also that tend to be better than what a human would say in the same situation.",0,0,0
Hunter Lanier,2023-05-27T21:34:10.000Z,"(8)  ChatGPT helps people like me solve complex problems with years of experience. No, I’m not a “software developer” in a lot of peoples eyes.

But I am a critical thinker, and if I can work on complex problems with minimal experience. The world will be better for it.",1,0,1
Cavin,2023-05-27T20:13:03.000Z,interesting tidbit on the “Lawyer aka ChatGPT to write brief” saga. really makes you question the concept that  LLM AI is better suited for structured tasks like legal filings than creative work. maybe the better model is slow tasks with low risk of consequences for being wrong,0,0,0
JP 5ain5bury,2023-05-27T07:40:40.000Z,"Nice work man. Curious did you use ChatGPT 3 or 4? 

I found the experience was 10x better generating UIs with ChatGPT4 than chatGPT3",1,0,1
Cathlene Sareli,2023-05-27T02:39:51.000Z,"How to Use ChatGPT to Work Better, Earn More Money",1,0,0
Angelique Stidhum,2023-05-27T00:22:51.000Z,"I’ve probably read 43 articles on how to connect chatGPT, zapier and Asana. 

All just say that you can, but not the steps in how to ACTUALLY MAKE IT WORK. 

Do better! ",1,0,0
LamboFarmer,2023-05-26T23:51:10.000Z,used it to fill out tender documentation and health & safety questionnaires for construction projects. You can cite a particular technical standard and it'll spit back out better responses than I'd ever write myself. If I did more written work ChatGPT would save me weeks of time.,1,0,0
Mega Jewell,2023-05-26T23:12:47.000Z,Was chatting with a #smallbusiness owner about #AI and #chatgpt. She didn’t think the content was clean - needed a lot of work. Recommended changing the ask to include “warm and kind tone” and  boom. The content became 1000x better,1,0,1
IKIGAI LABS XYZ,2023-05-26T19:33:16.000Z,with chatGPT you can publish an article with one single prompt. Now feed it 25 years of work and see if it gets better at the touch of a button.,1,0,0
Hassan Osman,2023-05-26T16:14:36.000Z,"""ChatGPT for Better Business Communication"" just launched on Amazon 

$0.99 for a limited time

Grab it here and learn how to use ChatGPT to increase productivity and communicate more effectively at work

https://amzn.to/43apD5J",1,0,1
Josh White,2023-05-26T16:09:15.000Z,"I don't mind folks using Chat GPT to copy-edit. We should 1) work with AI and 2) I prefer to read better-written papers. 

But still believe the extent of how AI was used in the paper should be disclosed.",3,0,1
Coopmike48 (we/us),2023-05-26T14:52:36.000Z,"How to Use ChatGPT to Work Better, Earn More Money",0,0,0
The Metaverse Guy,2023-05-26T14:02:32.000Z,"You can now do the same thing but probably better with chatgpt, although it's not free 

Personally I like to ask it to give me the key points on particular projects to work out whether I'm interested before doing my own research",0,0,0
David Gttesan,2023-05-26T12:43:18.000Z,"I'm an Independent liberal. I won't hide that. Just tired of our 2 party system speaking for 350 million of us. I want better candidates. 
Biden hasn't done enough to help the environment. & he needs to stay ahead of tech layoff fallout. AI & Chat GPT will put people out of work.",1,0,0
Stas Kulesh,2023-05-26T11:04:46.000Z,"Will ChatGPT it be able to read emails for me? Such a nice 1hr-long task to work on!

I thought of 
@levelsio
, he's constantly building analytical tools for himself to save and track his time to be able to assign better VALUE to that time. What can be measured can be improved.",1,0,1
Peter Strömberg aka PEZ,2023-05-26T10:22:04.000Z,"ChatGPT hallucinated a way to disable all like

[default]
disable = true

Which is way better than what I eventually got to work.",0,0,0
Nicholas Poole,2023-05-26T10:01:11.000Z,"My postgraduate work nearly 25 years ago was in natural language processing & when I looked under the bonnet at ChatGPT etc. I was really expecting there to have been some magical leap forward. But the basic methods are the same - bigger datasets, better computation, that's all.",1,0,3
Dave,2023-05-26T09:21:28.000Z,"Companies and Programmers who use ChatGPT will outrun everyone else so people who don't understand it now will be left behind.
If you can work with ChatGPT better than someone without ChatGPT you are still worth more.

Nobody cares how your path looked when the goal is better.",0,0,0
Let's Go Back To Common Law!,2023-05-26T08:04:09.000Z,"FYI: The way ""AI"" LLMs like ChatGPT work...

It's basically just a database.
Databases are completely dead.

A better phrase for them would be ""Simulated Intelligence"".

""AI"" will never be intelligent, because they will never actually *understand* anything.",0,1,0
